Ad state,Ad type,Final URL,Beacon URLs,Long headline,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Image ID,Square image ID,Logo ID,Landscape logo ID,Business name,Call to action text,Video ID,Accent color,Main color,Allow flexible color,Ad format preference,Promotion text,Price prefix,Enable Asset Enhancements,Enable Autogen Video,Path 1,Path 2,Auto-applied ad suggestion,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Campaign type,Campaign subtype,Ad final URL,Ad mobile final URL,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,View-through conv.,Cost / conv.,Conv. rate
Enabled,Expanded text ad,https://www.prioritypestandmosquito.com/mole-and-gopher-control/, --, --,Gopher Removal Services, --,Priority Pest and Mosquito, --,Remove Gophers from your Yard, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Protect your landscape, lawns, and gardens. We know how to kill gophers in your yard.", --, --,Call Today to for your Free Service Estimate. Gopher Removal Service you can Trust., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Gophers, --,No,, --, --,,Priority Pest,SKAG | gopher poison | BROAD,Search,All features,https://www.prioritypestandmosquito.com/mole-and-gopher-control/,,0,0,0,USD,0,0,0,0,0,0
Enabled,Expanded text ad,https://www.prioritypestandmosquito.com/mole-and-gopher-control/, --, --,Mole Removal Services in OKC, --,Priority Pest and Mosquito, --,Remove Moles from your Yard, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Protect your landscape, lawns, and gardens. We know how to get rid of moles from your yard", --, --,Call Today to for your Free Service Estimate. We will take care of your problem., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,moles, --,No,, --, --,,Priority Pest,SKAG | gopher poison | BROAD,Search,All features,https://www.prioritypestandmosquito.com/mole-and-gopher-control/,,0,0,0,USD,0,0,0,0,0,0
Enabled,Expanded text ad,https://www.prioritypestandmosquito.com/mole-and-gopher-control/, --, --,Gopher Removal Services, --,Priority Pest and Mosquito, --,Remove Gophers from your Yard, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Protect your landscape, lawns, and gardens. We know how to kill gophers in your yard.", --, --,Call Today to for your Free Service Estimate. Gopher Removal Service you can Trust., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Gophers, --,No,, --, --,,Priority Pest,SKAG | how to remove moles | BROAD,Search,All features,https://www.prioritypestandmosquito.com/mole-and-gopher-control/,,0,1,0.00%,USD,0,0,0,0,0,0
Enabled,Expanded text ad,https://www.prioritypestandmosquito.com/mole-and-gopher-control/, --, --,Mole Removal Services in OKC, --,Priority Pest and Mosquito, --,Remove Moles from your Yard, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Protect your landscape, lawns, and gardens. We know how to get rid of moles from your yard", --, --,Call Today to for your Free Service Estimate. We will take care of your problem., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,moles, --,No,, --, --,,Priority Pest,SKAG | how to remove moles | BROAD,Search,All features,https://www.prioritypestandmosquito.com/mole-and-gopher-control/,,3,8,37.50%,USD,1.44,4.32,0,0,0,0.00%
Enabled,Expanded text ad,https://www.prioritypestandmosquito.com/flea-tick-services/, --, --,Flea Removal Service OKC, --,Priority Pest and Mosquito, --,Destroy Fleas & Ticks, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Flea Removal Services You Can Trust. Keep Your Family and Pets Healthy., --, --,Locally Owned & Operated. Remove Fleas & Indoors & Outdoors. Effective & Safe for You., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Flea,Spraying,No,, --, --,,Priority Pest,SKAG | tick removal | BROAD,Search,All features,https://www.prioritypestandmosquito.com/flea-tick-services/,,0,0,0,USD,0,0,0,0,0,0
Enabled,Expanded text ad,https://www.prioritypestandmosquito.com/flea-tick-services/, --, --,Tick Extermination in OKC, --,Priority Pest and Mosquito, --,Remove Ticks From Your Home, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Locally Owned and Operated Tick Removal you can Trust. Keep your Pets & Family safe., --, --,Never Think About Bugs Again. Call Priority Pest and Mosquito Today!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Ticks, --,No,, --, --,,Priority Pest,SKAG | tick removal | BROAD,Search,All features,https://www.prioritypestandmosquito.com/flea-tick-services/,,0,1,0.00%,USD,0,0,0,0,0,0
Enabled,Expanded dynamic search ad,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Bed Bugs invade your bed, your walls, your clothes, & more. Our experienced team can help.", --, --,One Mention of Our Services Will Send Bedbugs Running -Take $100 Off Your First Room., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,No,, --, --,,Priority Pest,Bedbugs - Dyn,Search,All features,,,208,"3,281",6.34%,USD,12.61,2622.07,18.39,0,142.55,8.84%
Enabled,Expanded dynamic search ad,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Get Your Free Quote Today. Keep Your Family Safe with Our Roach Customizable Service., --, --,"At Priority Pest, we get rid of roaches fast. Get rid of them once and for all. Call Now!", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,No,, --, --,,Priority Pest,Cockroach - Dyn,Search,All features,,,0,104,0.00%,USD,0,0,0,0,0,0
Enabled,Expanded dynamic search ad,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Priority Pest & Mosquito Solutions, your trusted commercial pest control company", --, --,Commercial Pest Control in Oklahoma You Can Trust. Protecting Your Business is Our Job, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,No,, --, --,,Priority Pest,Comm Pest Control - Dyn,Search,All features,,,1,80,1.25%,USD,1.37,1.37,0,0,0,0.00%
Enabled,Expanded dynamic search ad,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Protect your landscape, lawns, and gardens. Remove Moles and Gophers from your lawn.", --, --,Call Today to for your Free Service Estimate. We will take care of your problem., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,No,, --, --,,Priority Pest,Mole and Gopher - Dyn,Search,All features,,,15,215,6.98%,USD,7.8,117.01,0,0,0,0.00%
